,AUC,AP,AUC2,AP2,AUC3,AP3,D_plus,D_minus
850,0.825802319784233,0.8111015445102999,0.7029478458049887,0.7163583095841126,0.7289511465335641,0.743032131608862,8,6
851,0.8263928310095146,0.8166116549837997,0.7146750502710041,0.6948277632132079,0.7394890220375834,0.7488815200462514,8,6
852,0.8195231406582939,0.8123119471350162,0.708020195012911,0.7126487715440282,0.7631196927069281,0.7660613407108245,8,6
853,0.8224500639017723,0.8146261026290477,0.7121751272465204,0.7026469374546751,0.7605288050087835,0.7513211736332537,8,6
854,0.8234885815139003,0.812393616926951,0.7185418811661822,0.7069507771656378,0.7577187243415137,0.7568071527250204,8,6
855,0.8135640755451081,0.8012141243738176,0.7136385255648037,0.7116245100130298,0.7426872770511296,0.768734563504031,8,6
856,0.8141321517519968,0.8030192625608663,0.7188506981740064,0.7047653988468342,0.7632285601221098,0.7601072586431881,8,6
857,0.8208350201698643,0.8124974043107862,0.6813757872021844,0.6702126180643087,0.7042762143832298,0.6884373094393047,8,6
858,0.8186379040218699,0.8118085412234715,0.6973367129068911,0.6973112174297815,0.73260997140681,0.7429325275928004,8,6
859,0.8230878435622435,0.8139626483624125,0.7099384132351165,0.7182438774205834,0.7634746206174777,0.7732444928945805,8,6
860,0.8233655747661839,0.8151657459327246,0.6936171346369013,0.6785640577418791,0.7396371676700944,0.7447171764673302,8,7
861,0.826175220769242,0.8151736485950007,0.6551174830744723,0.653914933769092,0.7021364062640512,0.6951337852495646,8,7
862,0.8299493393855881,0.8215655245343227,0.6805243610634019,0.688624454895669,0.7176788361885469,0.7234032742790474,8,7
863,0.8263884450494725,0.8190268535017466,0.6923588213061554,0.6577674690694667,0.7595433278160799,0.7611118598908944,8,7
864,0.8214387892085397,0.8125274580681308,0.6792578585157172,0.6636041122180562,0.7370419740839481,0.7369669703130806,8,7
865,0.8203099485787824,0.8083762450081231,0.74013153415667,0.7371704088635149,0.7538568374613634,0.7661200750655872,8,7
866,0.8233990468587089,0.8153378337543862,0.6981153890623193,0.6897334790574869,0.7425906655875438,0.7320323286021269,8,7
