,AUC,AP,AUC2,AP2,AUC3,AP3,D_plus,D_minus
599,0.8678994693543534,0.8670869345930099,0.6579567271687476,0.6233275186104059,0.7550823109707112,0.7319732742746416,6,0
600,0.8731488916845529,0.8708462535723918,0.7411796982167353,0.7151244277909663,0.7940192043895747,0.7773528333848515,6,1
601,0.870561563889003,0.8702746624124167,0.7134019204389574,0.7272961614169035,0.7710562414266118,0.7724205320426579,6,1
602,0.8717498426051048,0.8730159866962823,0.707411570247934,0.7102218124473734,0.7631735537190084,0.760228488252386,6,1
603,0.8706846983292268,0.8692982206611374,0.7374362244897961,0.7485754012189182,0.7752423469387755,0.7836919985141411,6,1
604,0.8722893156903001,0.8700592860190433,0.692308588335333,0.6974817379376115,0.7642838006266818,0.7726691774808399,6,1
605,0.8690708260372795,0.865408267754245,0.7283872188581314,0.7055755243617501,0.766557634083045,0.7537505772182702,6,1
606,0.8686385147251668,0.8664798479459482,0.7223213849087974,0.7058646986640269,0.7688640031297374,0.7644584199366593,6,1
607,0.8708397059297069,0.8699680059928643,0.7272971783461295,0.7139480984714758,0.7679959900239621,0.7657558805957967,6,1
608,0.8698309961903219,0.8673785774025153,0.7517636195752541,0.754374102846222,0.81513080947984,0.8086359155433767,6,1
609,0.8719529902809346,0.8709454839032791,0.7155822257488593,0.699628721769257,0.7897614560603056,0.7824230237851213,6,1
610,0.869594803914275,0.8681842428299589,0.7087047288421844,0.7065889769656932,0.7539993432163632,0.7514104077015977,6,2
611,0.8670651431655083,0.8650246642523569,0.7478560000000001,0.7641062078962664,0.7657759999999999,0.7720582904965629,6,2
612,0.8699968187910073,0.8673663687732487,0.7047520540761028,0.6852586870811073,0.7643785327195386,0.7512549806780948,6,2
613,0.8722484374323368,0.8716539722474236,0.7153942009994732,0.712634477724648,0.7274444059043433,0.7206749799324113,6,2
614,0.8683650306850648,0.8680245080003959,0.7413320944789478,0.7315457901090666,0.7638270820089001,0.7472849487458655,6,2
615,0.8670788173675135,0.8644979176262341,0.6694285250865052,0.6665321556427233,0.7298740268166091,0.6971772849774245,6,2
616,0.8701806626908031,0.870388658746113,0.6845411634041372,0.6689340828836225,0.7451409135082604,0.7322763840280975,6,2
617,0.864327704499551,0.8615338764429212,0.7237743339786362,0.7404767277216808,0.7924450427963562,0.7817471288174797,6,2
618,0.8649464635282439,0.8627839326986054,0.6995149911816578,0.6764753506525332,0.7506928697404888,0.7517062784448032,6,2
619,0.8704549128859506,0.8669826567906637,0.7260894775390625,0.6962164834029768,0.754302978515625,0.731676436095673,6,2
620,0.8645253780531001,0.8658284266409692,0.6734964880196623,0.6643192252033459,0.7187154189332432,0.7127294359594908,6,3
621,0.8724232817862738,0.8720350882774922,0.7365096952908586,0.7252611947400256,0.7866543551862111,0.7849203968469691,6,3
622,0.8710325271679689,0.8692266063601757,0.6908073747419778,0.6751952340339147,0.7529320698067179,0.7314138423107209,6,3
623,0.875196774154148,0.871276603474045,0.7531441827731367,0.7547915795285345,0.7892973973334724,0.7840246550430343,6,3
