,AUC,AP,AUC2,AP2,AUC3,AP3,D_plus,D_minus
332,0.8399731346067791,0.8436596339912503,0.6851147959183674,0.6763326372548826,0.7025765306122449,0.6994384236668553,3,4
333,0.8520870729657195,0.8523380061795143,0.7501426872770511,0.7669680959857729,0.7951010701545779,0.7896297913576319,3,4
334,0.8485866160486166,0.8464678924072129,0.7156623091366422,0.6956021503868559,0.7382883999952764,0.708212868820536,3,4
335,0.8436785879651477,0.8480275420374076,0.6669068960857618,0.656916457797638,0.7328723931354444,0.7151805107077129,3,4
336,0.8447408119688963,0.8448689621237253,0.6906979869935175,0.6805884576970237,0.7118619534537484,0.7107913652385005,3,4
337,0.8438650023706392,0.8427473305074791,0.7447220779878674,0.7309236031925618,0.781271767074885,0.7723390714486404,3,4
338,0.8441508004099484,0.8424871035446722,0.6592793388429752,0.641685967648193,0.7088,0.6887613920819271,3,4
339,0.8424868615513418,0.8460283817578496,0.6610156971375808,0.6714278748480715,0.7016928285626347,0.6985170163019573,3,4
340,0.8424700672106737,0.8444524434822169,0.6720186714205292,0.6521439058471555,0.7210428785888534,0.711904515710057,3,5
341,0.8434015007755933,0.8429914048959433,0.7256703317901235,0.7148621925731616,0.755811149691358,0.7439176763738458,3,5
342,0.8460581544990513,0.8458534126163811,0.7721673525377228,0.7846695721805165,0.7840329218106996,0.7849183195327305,3,5
343,0.8411021140327404,0.8398795229085222,0.7027222215750911,0.6804719760322793,0.7355472981630536,0.7334079080955892,3,5
344,0.8428771897877084,0.8424344206426146,0.7218228200371057,0.7336299328735831,0.741398212177433,0.7488415280282721,3,5
345,0.8451686595950927,0.84330210253815,0.7250347178386568,0.7248123134981693,0.7608326670313792,0.7739567385449334,3,5
346,0.8418214614463009,0.8424520310469479,0.7321523399735843,0.7304690069997377,0.7715989706022521,0.7619886320958227,3,5
347,0.8454087992351773,0.8447997462338053,0.6995985359861197,0.6894616064918437,0.7168222286951786,0.7122783427897333,3,5
348,0.8478926183737304,0.8469958116124412,0.7363884066358025,0.7212706633837667,0.7570529513888888,0.7430659883220048,3,5
349,0.8398071676580416,0.8419423936886455,0.7216549915623597,0.7249488438732555,0.7277616579052799,0.7383143624529329,3,5
350,0.8423491757171044,0.8437908526726968,0.6924868378936215,0.6742534078047886,0.7281376585247403,0.7160208135889523,3,6
351,0.8517257142730242,0.8521508758167994,0.6970329321043103,0.701146184557286,0.7212448694738879,0.7239516647861005,3,6
352,0.8392995677331028,0.8383527567980193,0.6964158770915341,0.6936388001646137,0.7136521342401512,0.6970021307620203,3,6
353,0.8423994588058418,0.8419250206729747,0.7336186540731995,0.716793893799136,0.7366440377804013,0.7266782308906647,3,6
354,0.8408578160583877,0.8388783445104114,0.7153404845430023,0.6911312242395007,0.7309811172604197,0.7156234215689823,3,6
355,0.8442799752609647,0.8457720845736243,0.7079483786375944,0.701982803101558,0.7613058310772255,0.7483763265307534,3,6
356,0.8471575314706513,0.847918374564045,0.6982352372134161,0.6896107260577333,0.7450007600779426,0.7523796592940905,3,6
357,0.8430193226523177,0.8421807996218005,0.7078679508399692,0.7067673773530234,0.7325391963924982,0.7253785554897519,3,6
358,0.8447397848769878,0.8457297118785629,0.7204366561332951,0.7185661962451417,0.7437517954610744,0.754077865371638,3,6
359,0.8423941401353097,0.8432578427593665,0.6956652949245543,0.7031196867833454,0.716323731138546,0.7324269604454008,3,6
360,0.846431766120624,0.8472412838356067,0.7284959999999999,0.7417987722554582,0.742944,0.7500903655412546,3,7
361,0.8479007573831253,0.8488958917626135,0.6676822427699248,0.689608383186651,0.6978543002562559,0.713976440593654,3,7
362,0.843573974490368,0.8458748356867605,0.7215196767201473,0.7109597857985057,0.7576490322299557,0.7488362170621745,3,7
363,0.8374943121315656,0.837787379785826,0.6629052765416401,0.654959658340349,0.7030050369211209,0.7111581267667206,3,7
364,0.8402057403889182,0.8415006659103306,0.7248947197926789,0.6918134277106593,0.7280184182516544,0.7006231236151443,3,7
365,0.8458956963183475,0.8439746856426823,0.6789093017578125,0.6511681011396856,0.7195892333984375,0.7273675890751546,3,7
366,0.8507214015973779,0.8525055839907418,0.744053403674395,0.7276130503833806,0.7732310611319357,0.783836575611728,3,7
367,0.8459862580654475,0.8488912794173227,0.728063957151859,0.7271490925805539,0.7462849191346357,0.7520075046475823,3,7
368,0.8442995399738619,0.8448958094526936,0.7080576430453204,0.6959610870646971,0.7304689871189404,0.7259176350889391,3,7
369,0.8441882698331447,0.8457386097211288,0.7517357667129538,0.738756278772946,0.7624231303312836,0.7668583733448124,3,7
370,0.8480382544545254,0.8487313611428309,0.6621045918367348,0.6601762440488177,0.7018112244897958,0.7008721593775145,3,8
371,0.8422335418237377,0.8413421449042722,0.6875720164609054,0.7055872670081753,0.7200823045267488,0.7258831455680104,3,8
372,0.8344335338290764,0.83357084864745,0.7099921634419045,0.692978513436653,0.7413494332292139,0.7474617233854275,3,8
373,0.8393765552114645,0.8359261651742353,0.695419060567519,0.688324665215182,0.7217336958905312,0.7167203950880299,3,8
374,0.8395611763700017,0.8391854055706862,0.7251759293909329,0.7098732143882882,0.7451374120353045,0.7404756001115157,3,8
375,0.8457129239252454,0.8450365783255676,0.6712365218196122,0.6690301084998994,0.703803970567819,0.7071982041339149,3,8
376,0.8468642995066626,0.848822332060757,0.7040371132449322,0.6912670129043782,0.7426840420667581,0.7286961952738983,3,8
377,0.8354037970199901,0.8345778510203327,0.6937435076177285,0.6864995591393945,0.7322216932132963,0.7285554286409025,3,8
378,0.8402315564828375,0.8394724813749526,0.7189988746537397,0.7192022874341915,0.7322000519390583,0.7345668564490789,3,8
379,0.8387918956341377,0.8402138468292529,0.6755958679768203,0.6553923625910101,0.7327488032249937,0.7379514383089689,3,8
380,0.8379691728079359,0.8365161153699097,0.64779052162642,0.6525930353734735,0.7009879205742355,0.7003606448409172,3,9
381,0.8482089515778907,0.8441951491091411,0.7375735537190082,0.71313479962888,0.7731041322314051,0.7671590759909293,3,9
382,0.8433062865797396,0.8434536328845734,0.7250779683671197,0.7279044941247849,0.7495126977055023,0.7549055552334429,3,9
383,0.8433508401611813,0.8430582547453918,0.7169299232236296,0.7106695491449475,0.7430436696170961,0.7338617892740643,3,9
384,0.8450525204835437,0.8436984802458306,0.7380723400262714,0.7166511293054858,0.7627134546819291,0.7506045470695872,3,9
