,AUC,AP,AUC2,AP2,AUC3,AP3,D_plus,D_minus
0,0.7840726081805373,0.7803979404805983,0.6510915571396748,0.6446345540823873,0.7012836934729337,0.7210263258585023,0,1
1,0.7907031804317338,0.7860269401837734,0.6436420722135008,0.6288920696373593,0.6637684659662682,0.6720428576170235,0,1
2,0.7906972677134492,0.7862910374757623,0.6802035593979963,0.6724404920617892,0.715479477800749,0.7193851532258366,0,1
3,0.7906825997306244,0.7863557168340188,0.6712007554456811,0.6874133638686841,0.6904582541989835,0.7019893380604931,0,1
4,0.786214011532299,0.7821494348945927,0.6983840000000001,0.7046039156226513,0.729184,0.7410357367199029,0,1
5,0.7846066959730225,0.7821049915066205,0.6800978008932105,0.7140077962929178,0.6899485555995252,0.7245174391588342,0,1
6,0.7949471519574152,0.7920404279846016,0.6310126192674669,0.6496424361920962,0.6689689135118497,0.7028106182736162,0,1
7,0.78303189203654,0.7760453647433712,0.6766676242459064,0.6933256015295579,0.6871014076414824,0.7008460528477309,0,1
8,0.7639882034330409,0.7635951100878906,0.6298188675935266,0.6595268221752831,0.6546752335423885,0.6797292839330917,0,1
9,0.7929206885180008,0.7866785738360373,0.7122232126102458,0.6983934258096327,0.7324544942765998,0.7271188755310294,0,1
10,0.7851824614896052,0.7806157609745854,0.6570203900815363,0.6481699729448711,0.679481806970702,0.711650393810503,0,2
11,0.7854248440763446,0.7761232363716832,0.6418956187295956,0.6637964199588092,0.6586067589928595,0.6727196112800369,0,2
12,0.7931809980224317,0.7884871108416771,0.6652821860741917,0.6688299545788398,0.6717293195794485,0.6743064155624913,0,2
13,0.7850055629518511,0.7787206596765355,0.6666949944760773,0.6694668908749294,0.704840413262271,0.7174202122696862,0,2
14,0.7710890949488176,0.7697247201178836,0.6646298555075999,0.6771000030855803,0.6816593169450178,0.6997490957114445,0,2
15,0.7915892720527736,0.7861764891349672,0.6694891556022864,0.6656614393534503,0.6854006107314234,0.6882648173070767,0,2
16,0.7731429123440903,0.7704290955431148,0.6508514970614097,0.6665286985690702,0.6754477301124531,0.6959036499269089,0,2
17,0.7813076878662137,0.7742563980330339,0.6328413017392184,0.6520120197637087,0.6686810565426708,0.6877813266904784,0,2
18,0.7840529324306769,0.7746982143382333,0.6622030132695553,0.6768689968741075,0.704670446405808,0.7092053451937291,0,2
19,0.7899566234103672,0.7830652310956916,0.695074958129655,0.7225157512166535,0.7433449980256261,0.7690057259691544,0,2
20,0.7963693966584536,0.7874622099973034,0.6903196921201036,0.698759850953514,0.7196311537875323,0.7342367359426907,0,3
21,0.7891940437552257,0.7848265792840894,0.6686650053399786,0.66459104828884,0.7059309362762549,0.7282274431125195,0,3
22,0.79458651500498,0.7881172059402807,0.6582193559556787,0.6755830144639281,0.692737188365651,0.7077076561281023,0,3
23,0.7807982502795355,0.7752925660945076,0.6627514057093425,0.6562417197732006,0.6754298226643599,0.6829597814017616,0,3
24,0.7867549392017108,0.7827431033058061,0.6772330644242095,0.6847372570276327,0.6854776408606781,0.7058247737157186,0,3
25,0.7884973922969218,0.7780373564968829,0.6587368675280763,0.6509219909145705,0.6800976800976801,0.6859185802689054,0,3
26,0.783080398533868,0.7784174008904925,0.676005585333994,0.6458961555193954,0.7055650646367281,0.7037714303355076,0,3
27,0.7828163692911733,0.7780976987276329,0.7014283832808514,0.7135049072617263,0.7091509919660923,0.7187624927447298,0,3
