,AUC,AP,HSIC,p_value,#0.05,cov_1
0,0.9340053855386471,0.9356979044716396,0.077551976,1.0520080390861897e-150,True,1.0071004629135132
1,0.8951084482310093,0.8681746878252434,0.08207159,4.804244808503361e-179,True,0.7780383825302124
2,0.910005296223245,0.9026109930594312,0.058934763,1.850127152133889e-147,True,0.6978386044502258
3,0.8732449321749733,0.8718607969794923,0.036358356,5.641414266570873e-94,True,0.7366010546684265
4,0.8752281949008343,0.8792778629177369,0.049486514,4.508869682876919e-133,True,0.7304501533508301
5,0.8802919908844554,0.8673057458361662,0.050602827,5.011840098650866e-120,True,0.6384264230728149
6,0.9032503348373674,0.8971519812062526,0.08531759,1.447722015509794e-206,True,0.9109035730361938
7,0.9072761535644531,0.9068780492582054,0.039825555,4.1656571375146833e-100,True,0.6251264214515686
8,0.8574606949398863,0.83828456855427,0.061587993,1.2872810112057675e-158,True,0.8634401559829712
9,0.8886163686941141,0.8824273915106992,0.03986013,1.215424377825874e-116,True,0.795265257358551
10,0.8914906509695291,0.8736801420578987,0.07903431,2.600661627783374e-166,True,1.0270347595214844
11,0.8914047524621588,0.8835777254073751,0.06909944,1.1400648444517644e-156,True,0.7191502451896667
12,0.9227801416142732,0.9094871730274536,0.08362401,6.633577164596753e-197,True,1.018115758895874
13,0.8820607458669742,0.8644318390312553,0.066417,9.176090014600571e-157,True,0.7047679424285889
14,0.888396817072302,0.8797583451327047,0.066957705,1.743920858142776e-163,True,0.9900143146514893
15,0.9021732254484183,0.8842953398789906,0.03223752,5.250466365244648e-84,True,0.7119341492652893
16,0.9022004701232433,0.8916163410660294,0.069930956,4.767864052090055e-168,True,0.9606531858444214
17,0.896132815845583,0.8784019880468557,0.105064675,1.630209428179596e-256,True,1.1374555826187134
18,0.8906642224864579,0.870167301850846,0.06539569,4.926494754571672e-144,True,0.80751633644104
19,0.9329768910188491,0.9146098581344909,0.031271257,3.4684360205082886e-87,True,0.5610058903694153
20,0.8545843993574107,0.8251421015562452,0.050472606,4.053040013688803e-120,True,0.8802764415740967
21,0.8959809615145542,0.8807990920567509,0.061861243,5.322145331514126e-159,True,0.731404185295105
22,0.8992804441522391,0.8917609664597987,0.05991402,5.367662500683194e-151,True,0.7568836212158203
23,0.8840073368853175,0.8781499553347972,0.052980028,1.1921792347446927e-129,True,0.7925391793251038
24,0.9072888888888889,0.8899555506081522,0.08776122,3.4646836882337755e-189,True,0.7802536487579346
25,0.9025543424679261,0.879210781261426,0.06876643,1.497922237484777e-160,True,0.8084850907325745
26,0.9032239171178675,0.8889648445328215,0.03549648,1.0386558620701362e-129,True,0.6850339770317078
27,0.8925142026687805,0.8646811899956166,0.048583202,1.4016460487282992e-145,True,0.8427872061729431
28,0.9128279091616389,0.9068334247771797,0.06601533,7.512257441895566e-169,True,0.9551170468330383
29,0.902122657322028,0.8949750769678189,0.056716528,5.189833491650607e-168,True,0.7361928820610046
30,0.8903433018300374,0.8743529098084013,0.08633941,4.133879484452872e-200,True,0.8019856214523315
31,0.8736042524005487,0.8526882138473988,0.05042153,2.123048539099835e-124,True,0.6608477234840393
32,0.9119846251777941,0.9024814086228863,0.059632313,1.9457708635533675e-177,True,0.8362240195274353
33,0.8725533713394651,0.8429010740987021,0.061577283,4.86006096384019e-171,True,0.8642945885658264
34,0.8834782404774606,0.885239525519368,0.053465366,2.0856148905101257e-127,True,0.7156516909599304
35,0.8759529826498758,0.849132263185957,0.056851856,1.320049987900993e-142,True,0.8541361689567566
36,0.9004702689054412,0.8930544953093125,0.06547915,9.006143552985132e-140,True,0.7225241661071777
37,0.8730339701235277,0.8647337152510428,0.0681501,6.031196207733296e-185,True,0.957319974899292
38,0.8890394699546486,0.8629597604389825,0.063874036,1.0166101715902994e-141,True,0.8936050534248352
39,0.86178753104574,0.8495941024856197,0.022460641,4.125478425371476e-63,True,0.6050372123718262
40,0.8656683710737764,0.8416574158135578,0.052651342,3.868494332971838e-122,True,0.8339304327964783
41,0.8880028479886082,0.8739653373755809,0.052811205,4.813837631991321e-136,True,0.7220404148101807
42,0.8913002191380569,0.8658995179558535,0.06755417,2.9792379145639343e-145,True,0.6900509595870972
43,0.9002012040112288,0.8910189750126432,0.06637422,3.635538176858947e-188,True,0.7816859483718872
44,0.8678183759558342,0.8571990218390527,0.06837418,1.8979542189542702e-168,True,0.9726001620292664
45,0.9190735639220486,0.9171962711233945,0.04854661,1.1961529249094652e-148,True,0.880297064781189
46,0.8700410920607689,0.8488829693795028,0.049464196,6.399610256151612e-130,True,0.8195236325263977
47,0.9010141008835676,0.8826932884201324,0.082858264,3.944995478038879e-182,True,0.7654372453689575
48,0.8919005102040816,0.8933197154373742,0.06001298,7.554829179286184e-144,True,0.7168121933937073
49,0.9109196897031233,0.9069941803225681,0.09217363,8.018270587682005e-201,True,0.8299633264541626
50,0.8964647989373264,0.8756419110051757,0.050345346,1.4698667745025152e-123,True,0.8441515564918518
51,0.9142590372311643,0.9005125846601176,0.0584051,1.2782669278983573e-143,True,0.8893090486526489
52,0.8964540964616241,0.8823762060530487,0.08239704,2.524064859249605e-187,True,0.8460450768470764
53,0.8825463088155759,0.8667703152644746,0.036593065,5.310802433867636e-97,True,0.6914615035057068
54,0.9026500857389045,0.88420826119202,0.039579477,1.2285368444811208e-111,True,0.6548347473144531
55,0.8922993197278911,0.8915546857496486,0.028485918,4.554156263623962e-90,True,0.5386534929275513
56,0.9032871560001039,0.8912775025944712,0.051117383,9.684279698036866e-158,True,0.8098181486129761
57,0.8930536318867343,0.8728256681645573,0.07085174,6.691078836391593e-206,True,0.9890046119689941
58,0.8849264301002159,0.8559384170930803,0.048263118,1.0302401667082845e-118,True,0.6493889093399048
59,0.895361380798274,0.8814003852031912,0.053404298,2.168541943508178e-146,True,0.7442312240600586
60,0.8843505250978996,0.860284773394907,0.037082173,1.3728880053499079e-92,True,0.5850298404693604
61,0.9203706788837984,0.9254881326265003,0.061507042,4.379883392328844e-148,True,0.8904748558998108
62,0.907859811819806,0.898162183841926,0.042576827,1.6504346379371374e-136,True,0.7633635401725769
63,0.8938147189349113,0.8799444435960575,0.06270724,1.643797354754747e-144,True,0.844693660736084
64,0.9033826733451631,0.8909648296350974,0.025921585,4.382238539528986e-76,True,0.564810037612915
65,0.9149154702896525,0.899967775983862,0.07840752,3.5614834320055224e-191,True,1.0357826948165894
66,0.8838762169289902,0.8748659723443086,0.05367267,9.515786913439638e-148,True,0.9424924850463867
67,0.9059918776656186,0.9047395286055975,0.048947897,6.691098615812658e-163,True,0.7613559365272522
68,0.8866268608485542,0.8709554258239111,0.047284212,1.0810335099247868e-123,True,0.6734377145767212
69,0.8848059018159432,0.8720444479482784,0.050872993,5.583958136376915e-121,True,0.7575184106826782
70,0.8946854458644207,0.8963531858751614,0.06718805,7.162514967689799e-172,True,0.9476580023765564
71,0.9145421946404746,0.9047828440399139,0.09755145,1.0433593270461746e-193,True,0.9703474044799805
72,0.8999094612947035,0.869901244145542,0.07925541,3.237779539787845e-189,True,0.9216293692588806
73,0.9168320036998496,0.9103652895045647,0.04240839,4.668276584379723e-108,True,0.6291698217391968
74,0.8953892242986375,0.8848176921505395,0.05725557,1.269859988815712e-165,True,0.9347215890884399
75,0.8870708898395624,0.8641931550262668,0.079888776,1.0861392457615866e-171,True,0.8750699162483215
76,0.9167061793472396,0.8916262050105102,0.072051875,6.782564214915543e-173,True,0.9928434491157532
77,0.918519277517101,0.9123198011695459,0.07718337,2.7131815700633407e-182,True,0.8065016269683838
78,0.9002697122877238,0.8732843779514112,0.07724527,3.2313932006747895e-167,True,0.8251419067382812
79,0.8976593135399475,0.8755371787839497,0.03764733,6.743085474913096e-108,True,0.6364353895187378
80,0.8870778890604519,0.8708771229048473,0.043538712,5.3070620234041504e-107,True,0.5962309837341309
81,0.8923736493747353,0.8833264290226259,0.06524792,3.0863244493014593e-180,True,0.8591315746307373
82,0.9164597803963089,0.9001309060384082,0.043235093,2.455650095146032e-141,True,0.6579599380493164
83,0.914050838290968,0.9038909466569497,0.07426751,2.047219272544504e-173,True,0.9008315801620483
84,0.8856443713066382,0.8865226423630957,0.062676325,7.281595026556137e-152,True,0.913894534111023
85,0.8977210044999273,0.871841070278892,0.070689104,4.163233998127561e-149,True,0.7977221608161926
86,0.8759946576994395,0.8575232071375114,0.028306078,2.188967709063333e-90,True,0.6886583566665649
87,0.8725095512877328,0.8478048332213755,0.07418614,9.324810465188622e-180,True,0.9753003716468811
88,0.8726225697379543,0.8709278240907363,0.056722138,3.506168819839621e-141,True,0.7480018734931946
89,0.9226743068623201,0.9258762054048666,0.060965005,2.2636962395821133e-146,True,0.930428683757782
90,0.8787878787878789,0.8643178201303715,0.045044366,2.5133530977630296e-110,True,0.6965110898017883
91,0.9204846028780121,0.9212967484050754,0.09020719,3.76838898193633e-198,True,0.9654010534286499
92,0.9111155821582863,0.9083906355846164,0.081510946,1.5961309599590622e-183,True,0.792503833770752
93,0.8885327635327634,0.876672317701884,0.06685928,3.999407298211924e-152,True,0.703317403793335
94,0.8956495149958924,0.8756013895519165,0.042324748,1.1075180452515456e-115,True,0.6833493113517761
95,0.8908940986863065,0.8714148638109679,0.064286835,4.231740011967313e-163,True,0.9925404787063599
96,0.8940047932676924,0.8783659790698265,0.047922865,4.085383400478823e-128,True,0.849372148513794
97,0.9241116200204713,0.9175323075446684,0.042275887,2.315946018049542e-119,True,0.8251969814300537
98,0.8982257676822306,0.8761768601778336,0.036342498,4.688971470329853e-101,True,0.7604403495788574
99,0.8971590461297241,0.8816105897631477,0.056661047,2.5980478152024067e-138,True,0.7614182233810425
