,AUC,AP,HSIC,p_value,#0.05,cov_1,SP
0,0.5077701755466014,0.5064665370244951,4.6275033e-09,0.9177801007306129,False,0.16040246188640594,0.013304866805942828
1,0.6644333997011955,0.6580669732664497,2.5113916e-06,0.8204344755560027,False,0.007522618863731623,0.5655034659049816
2,0.4991806919611629,0.5029527825899907,3.278692e-08,0.7968574359549356,False,0.06905901432037354,0.006194065560083895
3,0.5801495675095087,0.5789303980859191,1.1475906e-08,0.9731645053318053,False,0.0018881395226344466,0.2615575778982938
4,0.6828161693659082,0.6833397078733547,1.9518161e-07,0.9914444544513623,False,0.0017747997771948576,0.6115958505617592
5,0.6671982618943525,0.669408955329661,3.5949707e-08,0.9955810905593586,False,0.0004941311199218035,0.5694501328479487
6,0.6750817402215763,0.672039246225739,2.6321713e-06,0.7998933379242609,False,0.019810272380709648,0.6144305154740004
7,0.6531742032433207,0.6555092545548964,7.1779584e-07,0.9419400179616464,False,0.00031658305670134723,0.5343924136341963
8,0.6693054092684931,0.6689257619083472,7.1972465e-07,0.9183039543029983,False,0.0045398869551718235,0.5806137366639164
9,0.6721231888083634,0.6709315771279225,2.20505e-07,0.9830643496462882,False,0.0007291434449143708,0.6511596953311373
10,0.6557315852341579,0.6582221123638688,2.037271e-06,0.7855468580166933,False,0.0012626191601157188,0.5291585588948577
11,0.5068830212053808,0.5053026042583629,1.0219432e-08,0.8692426258458859,False,0.03175508975982666,0.011150770779884906
12,0.6671886441496435,0.6663508103182165,1.7114559e-06,0.8003754449761848,False,0.010189109481871128,0.5410894615920236
13,0.6473631606362726,0.6505229522910635,2.0382918e-06,0.759428811389412,False,0.007228504400700331,0.5108625228640638
14,0.6754895235575915,0.6761691798118588,1.256515e-06,0.8880926860264831,False,0.007132777012884617,0.5576680111669454
15,0.5152495025531035,0.5112412781630945,1.4133086e-07,0.5554543208903345,False,0.027018338441848755,0.020894327977872194
16,0.6784736013814803,0.6798465170016073,1.7042565e-06,0.8370194293655064,False,0.0025124154053628445,0.6251041859562136
17,0.6514309407504537,0.6498709724531666,3.6139608e-07,0.9738430363050566,False,0.0014062320115044713,0.5638762997062032
18,0.6543598650630109,0.6556575132293146,1.6702883e-06,0.915174406575102,False,0.0028220685198903084,0.5551765355052617
