,AUC,AP,HSIC,p_value,#0.05,cov_1
0,0.8196093307877438,0.7989882256696291,1.8890777e-06,0.2586055632903041,False,0.004816590808331966
1,0.8537859326222684,0.8358567564430469,4.252388e-06,0.6581248681875227,False,0.0150972381234169
2,0.7787639710716634,0.7397060257003083,4.9760885e-08,0.5371862391945386,False,0.03647478669881821
3,0.8248437738149672,0.8085081743321751,1.944506e-06,0.8510371586966732,False,0.002210075268521905
4,0.8409559041340305,0.8233869703551638,1.0551159e-05,0.6116282868338139,False,0.027203131467103958
5,0.8609145807445584,0.8519769530752936,1.6298628e-06,0.8764942059561458,False,0.002543618669733405
6,0.8506799031962976,0.8380844014486044,2.7856543e-06,0.8617329896611436,False,0.0011999673442915082
7,0.8689498901367188,0.8470537868126722,6.680024e-06,0.7038157370164398,False,0.024481944739818573
8,0.8374791914387633,0.8134500964083329,3.2730352e-06,0.8127653857585134,False,0.011619629338383675
9,0.8415217939027462,0.8226635721199407,2.0604696e-06,0.8801973394830314,False,0.009180113673210144
10,0.8096974549861498,0.7840032843008854,6.058291e-06,0.38454697500329726,False,0.03508672118186951
11,0.8662750347015665,0.8469135442171812,3.1753696e-06,0.76477242725148,False,0.007549899164587259
12,0.7682958920525162,0.7464687402998618,3.4677836e-07,0.33180360282525384,False,0.03560157120227814
13,0.8231237985390234,0.7974222611727109,2.9127937e-06,0.8700739683999276,False,0.00943642109632492
14,0.8363149000640988,0.8139942471393675,8.957372e-06,0.09866211077442334,False,0.010889565572142601
15,0.7994640259015809,0.7479980472982914,1.8479424e-05,0.2904978365131119,False,0.04667142778635025
16,0.8549758569713719,0.8359686117015365,2.546629e-06,0.8959629516149962,False,0.0021309670992195606
17,0.8559734224061377,0.819671661789872,8.553589e-06,0.39213977276456846,False,0.01501759048551321
18,0.8052748051261724,0.809495837496004,3.3948612e-07,0.3060100196334853,False,0.05247451737523079
19,0.8257942523676789,0.788310201159243,2.7572542e-06,0.4920804298396344,False,0.005346386227756739
20,0.8463990344159321,0.8468998117858026,3.0654473e-06,0.8417057911259971,False,0.004814364481717348
21,0.837924236773403,0.8216899050377093,7.1695704e-06,0.6296289089975684,False,0.014301941730082035
22,0.7915251296661553,0.7750473243961873,4.515362e-08,0.7385146153748531,False,0.00949536357074976
23,0.78046663464058,0.7264778933282371,2.7949586e-06,0.7354999001954801,False,0.01654944382607937
24,0.8632197530864197,0.8422470502768401,3.9548663e-06,0.7782202077968116,False,0.008060967549681664
25,0.8377977530016417,0.8062338475242811,9.670921e-07,0.7344375589671135,False,0.013466794975101948
26,0.8134045710120783,0.775129681716944,5.3644897e-07,0.9598018009772666,False,0.007176835089921951
27,0.853380895759017,0.8301191234096066,3.94388e-06,0.8378370868422689,False,0.0020029128063470125
28,0.8040655598126862,0.7514892646903703,7.405863e-06,0.08069303257364048,False,0.06421703100204468
29,0.8069181912045376,0.8035197831077405,1.3187104e-06,0.9124275576044317,False,0.03714388981461525
30,0.8552514118263502,0.8484361715142164,4.4341737e-06,0.7207575252823746,False,0.02520802803337574
31,0.8520130315500685,0.8224876528661282,3.3401896e-06,0.8294412430595675,False,0.03270738571882248
32,0.8723414623746303,0.8683538855417199,5.6496415e-06,0.8753203846709813,False,0.016346942633390427
33,0.8505911278712062,0.8281272062833992,2.0371156e-06,0.9203737116909776,False,0.010302890092134476
34,0.7634857447719106,0.7333201270401228,2.6691924e-07,0.5303775686395518,False,0.007478280458599329
35,0.8433179723502304,0.821737283310624,1.0617584e-06,0.9233252166948857,False,0.002728352788835764
36,0.8524491857088752,0.8544704068377591,4.9057476e-06,0.3786372599781872,False,0.019478391855955124
37,0.8361641769606436,0.814944256347396,2.0682112e-06,0.8803866467349134,False,0.007588629145175219
38,0.7945099914965986,0.7627374573422321,7.466215e-08,0.5256742850206688,False,0.028674384579062462
39,0.8490737287956714,0.8418221411161527,1.0032912e-06,0.9704087127075173,False,0.008840791881084442
40,0.8240540540540541,0.7965047412259454,7.0215806e-06,0.516172745975094,False,0.029489094391465187
