,AUC,AP,HSIC,p_value,#0.05,cov_1
0,0.9053310818142362,0.8833020972032091,0.017914554,1.8475846577571546e-104,True,0.9701093435287476
1,0.9022026487441445,0.8928461571121162,0.011862251,1.5634422166915925e-91,True,0.6425842642784119
2,0.8623828249548304,0.7807459661551843,0.00427137,4.4338872347414576e-66,True,0.6585070490837097
3,0.912410394265233,0.8764292416520882,0.011508429,5.301919693256344e-84,True,0.7804021835327148
4,0.8170787905447157,0.7740324282439821,0.0066097127,1.7403251392582594e-67,True,0.6871814131736755
5,0.9036410018552877,0.8913530921991264,0.013492062,1.0346399948095266e-82,True,0.7291262149810791
6,0.6592061733404077,0.6963315376248543,0.012556211,2.9666071476354826e-77,True,0.27014783024787903
7,0.8024872638784336,0.7274020680083407,0.0053929947,6.751969349135408e-70,True,0.7582700252532959
8,0.9138562079572111,0.8909825902623199,0.012160567,8.725580510268806e-68,True,0.7428918480873108
9,0.5574243211801688,0.5189059147920616,0.0028678954,1.1125128503149093e-74,True,0.38843923807144165
10,0.7647537518014557,0.6897644652483399,0.004703432,1.852884732899693e-104,True,0.768592119216919
11,0.9040344071512902,0.8852056520281122,0.010637622,1.9271516809956658e-81,True,0.8052652478218079
12,0.7801361661840054,0.7261605597108847,0.0039811167,4.550857133369022e-47,True,0.5177299976348877
13,0.8611085291493159,0.8246989986699539,0.0112449555,9.95387102937237e-83,True,0.8503705263137817
14,0.6618603550295857,0.6072649053044987,0.00048169965,1.7868896166052987e-14,True,0.16342425346374512
15,0.9134943715901505,0.8871924204840702,0.016516998,3.5558230284695293e-90,True,0.7861827611923218
16,0.9010011675028511,0.8853419540742551,0.012237563,2.4088744767033463e-95,True,0.8748955130577087
17,0.882595486111111,0.8306418721846023,0.009182551,1.5081985350888735e-51,True,0.6319712996482849
18,0.9205977204895539,0.8900188716415434,0.005245422,3.674571842663482e-51,True,0.7687317132949829
19,0.8478978783674413,0.7865217781208418,0.009017227,9.46836052411075e-76,True,0.8188813924789429
20,0.8661579033349669,0.7840382180699901,0.008684412,1.3501751291015717e-76,True,0.8562139868736267
21,0.48733330761416094,0.5590166121450972,0.01640674,9.248305381194669e-116,True,0.5508183836936951
22,0.930716603569497,0.917345138191431,0.007332128,2.1507848534109867e-62,True,0.7550698518753052
23,0.7995945247933884,0.8063575298221267,0.001983337,1.2011090432090236e-72,True,0.1303362399339676
24,0.8676399949877478,0.795107515401904,0.0053105447,5.448212695059084e-74,True,0.7737982869148254
25,0.7529469387755103,0.6576020708126251,0.005357281,2.682129995177674e-63,True,0.6929283142089844
26,0.7787907301998653,0.7343603694339231,0.0061722193,1.0806229432595843e-75,True,0.7139897346496582
27,0.7553096438735883,0.7667011101524228,0.001003738,1.7120153615385195e-40,True,0.06142566725611687
28,0.8519294332470413,0.7617364793923078,0.003217234,3.2997657730085225e-71,True,0.5427282452583313
29,0.9019500594530321,0.8902095412952875,0.002328163,6.5642473122487e-42,True,0.1729322075843811
30,0.8960420775805391,0.8924006733337173,0.0009415162,3.39223009142028e-35,True,0.5850391387939453
31,0.8462259146740516,0.7897452320772926,0.0048066406,5.678181943332198e-63,True,0.7111886739730835
32,0.6325741949574123,0.5564679570016213,0.0019774067,1.6208139278795204e-53,True,0.470711886882782
33,0.768868166572592,0.7970791651793936,0.0025054517,2.7562093301443776e-56,True,0.6253865957260132
34,0.9256691454804156,0.9183916542103234,0.010344613,1.466384643478337e-55,True,0.7076873183250427
35,0.39302713223108643,0.41523725351233504,0.00170492,4.277952796775886e-50,True,0.5277032256126404
36,0.6304780985238886,0.5647820966936317,0.0039420254,7.42353934684329e-73,True,0.44811463356018066
37,0.4862543135273264,0.6242325426888159,0.00077901484,2.6126055031571672e-28,True,0.20341745018959045
38,0.37257873560148835,0.41045256525049806,0.00065818965,1.0080623108902817e-30,True,0.31373175978660583
39,0.8984554117122379,0.8789964042611809,0.0062150755,3.3656215596148884e-54,True,0.6606174111366272
40,0.8639013357684385,0.7876061616045057,0.01088944,1.222777504407187e-90,True,0.8349131345748901
41,0.9302665843378346,0.915420037774614,0.010782201,1.115347250568274e-85,True,0.816840648651123
42,0.8835640408316433,0.841467415863979,0.007775415,1.2201600624101194e-83,True,0.8433499932289124
43,0.8110226402000896,0.8063992430843705,0.004214239,5.856607631826255e-112,True,0.17443862557411194
44,0.44465742760408633,0.600178699425561,0.0009834991,8.342877009364972e-41,True,0.17775698006153107
45,0.6601486020831702,0.6105318729689392,0.004174584,1.3317209976714407e-59,True,0.5702812075614929
46,0.47827827718026206,0.5150891945975353,0.0007656587,3.376174562464987e-36,True,0.21079903841018677
47,0.8749888834358253,0.8195236135322036,0.006787847,9.766827930462652e-75,True,0.8769853115081787
48,0.6631472101424036,0.5771110781423584,0.00074981083,1.2926400115704038e-34,True,0.30034780502319336
49,0.9212851825929971,0.8837406568946728,0.012936975,6.800526596594936e-83,True,0.7326585054397583
50,0.9091084448902436,0.8762111172739596,0.0056554126,4.1741172342155535e-74,True,0.6391178965568542
51,0.6672559212261263,0.6699867410972317,0.006343075,9.945519467745822e-60,True,0.32105669379234314
52,0.8169855617446561,0.7678859682474954,0.0019422001,2.1046438637994716e-34,True,0.5510472655296326
53,0.9291299849892489,0.905718960121076,0.019478418,5.164037604950203e-98,True,0.8999584913253784
54,0.8381425778366681,0.8243440492857754,0.005643981,7.442874304755502e-69,True,0.6854204535484314
55,0.7693630854690063,0.6976137041591937,0.0022789014,8.746139853537825e-41,True,0.4682418406009674
56,0.8965362811791383,0.8632839114137664,0.008740834,3.8727815132136044e-67,True,0.7797582745552063
57,0.812230327985364,0.7925573217403018,0.0063755503,4.270051695658025e-71,True,0.1750691831111908
58,0.843020968967014,0.7532390316315594,0.005088585,2.446911031500377e-57,True,0.740142285823822
59,0.8911979222021469,0.8383295976732515,0.006668666,2.1760728699437096e-70,True,0.7125647664070129
60,0.8433822169375083,0.8039496134494908,0.0061218557,1.341249119081277e-63,True,0.8329403400421143
61,0.8111313094160254,0.7159081550443346,0.007348606,1.0529977256325054e-66,True,0.6816659569740295
62,0.8660330674066365,0.8156053001023262,0.0052910973,2.109111864540925e-64,True,0.664447546005249
63,0.8341204986149584,0.8066786031999349,0.0059361355,7.635693478842106e-67,True,0.6075489521026611
64,0.7441211052322163,0.6463570435443364,0.0007760498,3.398030287796477e-36,True,0.1475275605916977
65,0.7721331068459116,0.7715473524465934,0.003433967,7.63228287440232e-51,True,0.6250420212745667
66,0.8851710642595632,0.8787085419510084,0.005641396,8.841737118125261e-65,True,0.7961187362670898
67,0.4710699968763015,0.47924196876037095,0.00075637794,4.5389025980733824e-20,True,0.27039745450019836
68,0.48261768707482994,0.48792306093768195,0.001853669,3.55849063941715e-45,True,0.3679336607456207
