,AUC,AP,HSIC,p_value,#0.05,cov_1,SP
0,0.75763152,0.7608967674706838,0.041117128,5.9817020683533475e-279,True,0.9441950917243958,0.9322553374089911
1,0.7599321643966288,0.7540550077816522,0.042932134,4.430467064075423e-284,True,0.952279806137085,0.9356074548143707
2,0.7481452980878418,0.7440314803290434,0.044524033,6.919980466598073e-283,True,0.9345903992652893,0.9324094332916719
3,0.73443506,0.7318340992302051,0.041436743,1.2406548226241612e-272,True,0.944750189781189,0.9200934840105456
4,0.7612051316044365,0.7601916991280884,0.041061074,1.1474155422135685e-279,True,0.9427404403686523,0.9304755174468845
5,0.7581833328617391,0.7538139584537926,0.040081464,4.253673626757593e-260,True,0.9412416219711304,0.9318279889845512
6,0.7650858363114091,0.7575883002220865,0.04011354,2.4824309761221115e-269,True,0.939092755317688,0.9415647597178805
7,0.7408622466008099,0.7359678415306867,0.03775678,1.1288885993868031e-254,True,0.8837875723838806,0.9312341375073603
8,0.7566115373742224,0.7563235097950367,0.04051216,2.9753956927920338e-267,True,0.9334449768066406,0.9294879742862728
9,0.76486118493158,0.760887757893384,0.04239363,1.5817769453340572e-276,True,0.9483938813209534,0.9374951319997977
10,0.7514241359444436,0.7494745822341463,0.037703633,6.010494168595613e-263,True,0.9207345843315125,0.9282258809713955
11,0.7536887109381438,0.7503638311106618,0.04009517,7.179506072219784e-269,True,0.9181087613105774,0.9276392086544843
12,0.7549121208461868,0.7495425870432558,0.044710293,2.115522935059442e-273,True,0.9740909934043884,0.9307458315227953
13,0.7480350694300713,0.7483537024452296,0.040882815,1.0942353439458763e-270,True,0.9454517364501953,0.9309546652835559
14,0.7302685298079492,0.7305674282829444,0.04071999,5.176585810132982e-281,True,0.9336685538291931,0.9162887174967866
15,0.7485400624506366,0.7416841272238388,0.039145842,4.353554945063587e-258,True,0.9269281625747681,0.9244568108997872
16,0.7513095147549225,0.7468343161377313,0.041376214,1.3164801317862023e-259,True,0.9461193680763245,0.9310890503990567
17,0.7600599383043876,0.7596021329263332,0.042403877,3.447358857477441e-282,True,0.9369891881942749,0.9398712702831097
18,0.7338525223393565,0.728175823746779,0.0416122,2.2828208739821076e-284,True,0.9380063414573669,0.9288023575765455
19,0.7546545872877315,0.7514590167114826,0.04149412,8.608685100855535e-268,True,0.9330591559410095,0.9374679641733006
20,0.763484260422583,0.7613175976584776,0.040264886,2.0915779304467772e-272,True,0.9332280158996582,0.9391446110392672
21,0.7601388485669586,0.7601047488143975,0.038077913,2.0862002946646107e-263,True,0.9188520312309265,0.9278695198594702
22,0.755085313246594,0.7513886128818292,0.04226954,9.930226064360312e-276,True,0.9525467157363892,0.9364133846743372
23,0.7517090765080072,0.7500922813743365,0.040081054,1.3019299813343262e-267,True,0.9294728636741638,0.9355101219937936
24,0.7532183351881421,0.7550673417198746,0.040241227,3.5065916124666954e-281,True,0.931888222694397,0.9339320344087113
25,0.7599611987788046,0.7560754607665621,0.03921362,2.4612316594583065e-261,True,0.9312391877174377,0.9343212886790339
26,0.749588237914903,0.7416625801514436,0.041819204,5.431031169282537e-271,True,0.9359886646270752,0.929106632189749
27,0.7505408352546105,0.7446014678685453,0.043016817,2.0505638887331297e-275,True,0.928863525390625,0.9301396662219724
28,0.7755284403313293,0.7726639219760841,0.039784193,1.6018094825472585e-261,True,0.9393389821052551,0.9372846647689443
29,0.7417963901094076,0.7413522733959503,0.043366645,1.4107174566769983e-277,True,0.9475024342536926,0.9249813132214872
30,0.7637014668276652,0.7614973032897702,0.040909965,1.9834069687268e-271,True,0.9325414299964905,0.9364933476079274
31,0.7415363967229647,0.7376649216336917,0.04211207,4.1760194159877006e-283,True,0.9575000405311584,0.9325866539609885
32,0.7389071602038064,0.7354514567446919,0.03991244,2.9692167582761286e-255,True,0.940025269985199,0.9182787655043706
33,0.7653074295516739,0.7603662785347639,0.045887373,5.032678130157942e-300,True,0.9551866054534912,0.9404886452585078
34,0.6880448140615805,0.6871332103117266,0.044166513,1.010922112271869e-225,True,1.105579137802124,0.7418248479181508
35,0.7541463163897011,0.7495718237049103,0.04174275,1.689385614258201e-297,True,0.9680306315422058,0.9322475927919924
36,0.7521780337520552,0.7479935939496052,0.04165532,2.2524745946443752e-266,True,0.9320627450942993,0.9370983899715665
37,0.7692147170099837,0.7608104505801325,0.040027224,1.1274048349504322e-264,True,0.9422221779823303,0.9394858359982207
38,0.7618717275686061,0.7591395897385071,0.038064532,3.313574798261024e-265,True,0.9370520114898682,0.9368814842032356
39,0.7539597059592281,0.7518401866152191,0.041517038,2.342271884514977e-256,True,0.9486183524131775,0.9297321953989308
40,0.7437631681412624,0.7422239126854313,0.0421386,6.2909535870236895e-282,True,0.9290090799331665,0.9203692771294112
41,0.7604929907694802,0.754869268517255,0.03985633,3.017292766546788e-265,True,0.9444118142127991,0.9416236799739988
42,0.7545896056586792,0.7518527487937858,0.03802397,1.2100232167099694e-255,True,0.9054935574531555,0.9355020213784416
43,0.7631443058660509,0.7597948691664607,0.041409034,8.9676473932956e-271,True,0.9439763426780701,0.9397139039053763
44,0.7571073514984561,0.7517108667865924,0.04393146,2.290305664559472e-285,True,0.949237048625946,0.9373007131408027
45,0.7696747148346752,0.7644060323057676,0.042198353,1.8720651955835953e-284,True,0.9426395297050476,0.93771302804481
46,0.747473471907309,0.7440155856492676,0.041482244,9.814954097619203e-265,True,0.9401429891586304,0.9301974385004875
47,0.7422779444193041,0.7428173065984942,0.0381935,2.6985239902038147e-263,True,0.9343221187591553,0.9299112861422792
