,res0,res1,time_quick,time_RFF,time_grad_quick,time_grad_RFF,n,H
0,0.010444899089634418,0.012865809723734856,0.109161376953125,0.0005726814270019531,0.0007300376892089844,0.0002818107604980469,100,0
1,0.010444899089634418,0.008683032356202602,0.0005116462707519531,0.00029540061950683594,0.0006468296051025391,0.0002696514129638672,100,0
2,0.010444899089634418,0.007707921788096428,0.0002999305725097656,0.0002803802490234375,0.0007686614990234375,0.00027370452880859375,100,0
3,0.010444899089634418,0.008190266788005829,0.00029969215393066406,0.00028324127197265625,0.0006203651428222656,0.00026726722717285156,100,0
4,0.010444899089634418,0.009425854310393333,0.000301361083984375,0.0002772808074951172,0.0006377696990966797,0.0002682209014892578,100,0
5,0.010444899089634418,0.014205227605998516,0.00030303001403808594,0.0002818107604980469,0.0006194114685058594,0.0002701282501220703,100,0
6,0.010444899089634418,0.010518835857510567,0.0003056526184082031,0.0002837181091308594,0.0006201267242431641,0.0002703666687011719,100,0
7,0.010444899089634418,0.008928867988288403,0.0003046989440917969,0.0002827644348144531,0.0006184577941894531,0.0002696514129638672,100,0
8,0.010444899089634418,0.010052172467112541,0.0003247261047363281,0.00028204917907714844,0.0006194114685058594,0.0002694129943847656,100,0
9,0.010444899089634418,0.009706844575703144,0.0003032684326171875,0.0002849102020263672,0.0006184577941894531,0.00026869773864746094,100,0
10,0.010444899089634418,0.010174755938351154,0.0003018379211425781,0.00029730796813964844,0.0006201267242431641,0.00027251243591308594,100,0
11,0.010444899089634418,0.009488762356340885,0.0002999305725097656,0.00028443336486816406,0.0006215572357177734,0.00026917457580566406,100,0
12,0.010444899089634418,0.00884082168340683,0.000301361083984375,0.0002799034118652344,0.0006389617919921875,0.0002722740173339844,100,0
13,0.010444899089634418,0.01113649271428585,0.0003037452697753906,0.0002827644348144531,0.0007069110870361328,0.0002834796905517578,100,0
14,0.010444899089634418,0.0178814809769392,0.0003044605255126953,0.00028324127197265625,0.000640869140625,0.0002703666687011719,100,0
15,0.010444899089634418,0.010660601779818535,0.00030231475830078125,0.0002841949462890625,0.0006201267242431641,0.00026869773864746094,100,0
16,0.010444899089634418,0.019892316311597824,0.0003006458282470703,0.0002834796905517578,0.0006182193756103516,0.0002810955047607422,100,0
17,0.010444899089634418,0.01403568871319294,0.00030303001403808594,0.00028228759765625,0.0006184577941894531,0.0002675056457519531,100,0
18,0.010444899089634418,0.007834136486053467,0.0003020763397216797,0.0002818107604980469,0.0007727146148681641,0.0006506443023681641,100,0
