,AUC,AP,HSIC,p_value,#0.05,cov_1,SP
26,0.7845322214416874,0.7717638108741893,0.09581873,0.0,True,0.9787527918815613,0.9513728062121308
27,0.7703615429762352,0.7638500924135787,0.09407758,0.0,True,0.9612441658973694,0.9439429036051301
28,0.7861443851850564,0.7784287334592036,0.098338805,0.0,True,0.9793098568916321,0.9565699055586384
29,0.7956867392548759,0.7861386397392797,0.098348096,0.0,True,0.9967801570892334,0.9527073072892449
30,0.7648791944817316,0.7573555762302333,0.09157777,0.0,True,0.9689381122589111,0.9442070970607176
31,0.7812646426247203,0.7778057279166832,0.082934655,0.0,True,0.9684902429580688,0.9509950471617442
32,0.7745923901879859,0.7634165109991412,0.09322496,0.0,True,0.9667772650718689,0.9482654615327791
33,0.78325846800065,0.775233159699226,0.09023911,0.0,True,0.9548830986022949,0.9521948917362241
34,0.7920820171673149,0.7847405385206733,0.09806192,0.0,True,0.9858487248420715,0.9543750559410731
35,0.7713584857513599,0.7617932718589665,0.089723155,0.0,True,0.9554967880249023,0.946764335385284
36,0.7692364343126643,0.7600212338650654,0.09127453,0.0,True,0.949336051940918,0.9457151849417245
37,0.7914043898420577,0.7852300089351782,0.0964145,0.0,True,0.9679949879646301,0.9498990215877164
38,0.7579037391690213,0.7513012805479157,0.097401194,0.0,True,0.9583461284637451,0.9400223829473991
39,0.7648301172323388,0.7602100386821398,0.090039104,0.0,True,0.9465082287788391,0.9408595724894077
40,0.7726070981184614,0.768619458498675,0.09225305,0.0,True,0.9604542255401611,0.9491370282219886
41,0.7545828696584168,0.7455256853640693,0.09783214,0.0,True,0.9901008605957031,0.9399984979221643
42,0.7750435484535788,0.7594663575366012,0.09040203,0.0,True,0.954839825630188,0.9479744943976609
43,0.7786288123694944,0.7694691251091152,0.090674624,0.0,True,0.945993185043335,0.9500574380614234
44,0.7657854910870954,0.7564089387872737,0.09296744,0.0,True,0.9532589316368103,0.9458352524260006
45,0.7562589473535953,0.7436264553736944,0.091605075,0.0,True,0.9643908739089966,0.9350036926195956
46,0.7682919345705439,0.7586922086039056,0.09322681,0.0,True,0.9751759171485901,0.9456070981117445
47,0.7549024472434851,0.7471107265883832,0.09158251,0.0,True,0.9594808220863342,0.9405778916765615
48,0.762404265164774,0.7531532566298198,0.09370942,0.0,True,0.9680341482162476,0.9472845796994654
49,0.7748901514595115,0.7657927648481467,0.09826169,0.0,True,0.9938756227493286,0.9506377264967346
50,0.78017763509255,0.7710691668041053,0.09713091,0.0,True,0.9744939208030701,0.9499407265175791
51,0.7744445774635842,0.7652662049686539,0.09056434,0.0,True,0.9474348425865173,0.9482777577054965
52,0.7713804238579297,0.7574518072637972,0.09809223,0.0,True,0.9932103753089905,0.9472425549920769
53,0.7766958760865189,0.7673182612935824,0.09841033,0.0,True,0.9665720462799072,0.9542693559143535
54,0.7728614226749739,0.7672720504401016,0.097936586,0.0,True,0.9820566177368164,0.9471927839276288
55,0.764426230996128,0.757321478833169,0.09018558,0.0,True,0.9510726928710938,0.9496188789611195
56,0.7565656763124474,0.7466762260726352,0.09302098,0.0,True,0.9720553755760193,0.9395023951470408
57,0.7703227441888781,0.7618442599918083,0.090251476,0.0,True,0.9397979378700256,0.9383836096986969
58,0.7755455994331574,0.7680020759425055,0.09361853,0.0,True,0.967123806476593,0.9480850276974551
59,0.7767182336243713,0.7637449559705672,0.0961303,0.0,True,0.9876610040664673,0.9498543118825177
60,0.7737245031144453,0.7663109931888115,0.091187604,0.0,True,0.9613701105117798,0.9476106223041268
61,0.7960925596495533,0.7843114625741867,0.09808953,0.0,True,0.9745956063270569,0.9560694274000388
62,0.7671674772241708,0.7584687318680688,0.09926236,0.0,True,0.980991780757904,0.9449249232846547
63,0.7537456634476984,0.7496084926425794,0.09415472,0.0,True,0.9757047891616821,0.9454454030600921
64,0.7736992160368075,0.7662150260707858,0.09925055,0.0,True,0.967851459980011,0.9498010211400763
65,0.7585250329143145,0.7428028181444759,0.097196944,0.0,True,0.9723863005638123,0.9424227535582969
66,0.7906948275027822,0.7866705599017292,0.09724161,0.0,True,0.9682901501655579,0.9533411378164175
67,0.7571297740862425,0.7451295005647836,0.090214625,0.0,True,0.932564377784729,0.9369426353488757
68,0.7703454531072133,0.7568322147638393,0.09583267,0.0,True,0.9787375926971436,0.949487708102937
69,0.7779402479313217,0.7679782478594372,0.09419911,0.0,True,0.9427226781845093,0.950760780299809
70,0.7808427989481488,0.7720650644989069,0.091786005,0.0,True,0.952654242515564,0.9477538678637638
71,0.7938600039076549,0.7845269509503483,0.0964507,0.0,True,0.966101348400116,0.9569729949298634
72,0.7706208200000001,0.76269337772402,0.09114899,0.0,True,0.9563976526260376,0.9490407983691476
73,0.7597243178109945,0.754386289737885,0.08925989,0.0,True,0.9512606263160706,0.9410814218880802
74,0.7920911470472229,0.7825955603441258,0.096821986,0.0,True,0.9823856353759766,0.949927977082788
75,0.7769587416374514,0.7715072146487738,0.09022507,0.0,True,0.9522332549095154,0.9500570555834374
76,0.7857497886545466,0.7782607514262199,0.09236427,0.0,True,0.9623041152954102,0.9560208855241706
77,0.7744743985376845,0.7708573415787159,0.09123883,0.0,True,0.9580774307250977,0.946254010977978
78,0.7728992939706119,0.7643984579766763,0.09113888,0.0,True,0.9360227584838867,0.9506474561281141
79,0.7616187322095987,0.7521167920301208,0.088816814,0.0,True,0.9376757144927979,0.9439246625661468
80,0.7808973487915145,0.7710132846679749,0.08803679,0.0,True,0.9573818445205688,0.949633453584726
81,0.7694208619652421,0.7629825300543214,0.090732306,0.0,True,0.9716196656227112,0.9512682602326236
82,0.7751413404813775,0.7656614590320687,0.085908175,2.6256565117695132e-306,True,0.9197964072227478,0.9455419605602589
83,0.7480613430917935,0.74259359498665,0.088115826,1.4655407992569e-310,True,0.9375361800193787,0.9359744024993267
84,0.7920641863044962,0.7809254625477006,0.09584986,0.0,True,0.9691455364227295,0.9527934028995694
85,0.7827835978804483,0.7698007988346791,0.10143267,0.0,True,0.9750102162361145,0.94596561610944
86,0.776912491132399,0.7707971782000642,0.09772506,0.0,True,0.9912384152412415,0.9505308443553707
87,0.7713662811961111,0.7627341251064743,0.09708895,0.0,True,0.9733326435089111,0.9467389295895321
88,0.7833162000297227,0.7786315650663351,0.0904342,0.0,True,0.9451478123664856,0.9529680255270175
