,AUC,AP,HSIC,p_value,#0.05,cov_1,delta,k
48,0.8359298172972411,0.8068108714511206,7.422557e-06,0.8047373249791209,False,0.028943518176674843,2000,6
49,0.8935122937194202,0.8660691195923,0.029480135,3.254562589014742e-155,True,0.729081392288208,0,7
50,0.8799931742421789,0.8475301865243382,0.0014946563,2.4013563937541575e-21,True,0.25843095779418945,10,7
51,0.8567296970481539,0.8391707960906782,0.00010500411,0.004559205428233368,True,0.1280900090932846,100,7
52,0.8639467590889969,0.8441071114515344,4.7043897e-05,0.10747178744451065,False,0.03263658657670021,200,7
53,0.8640732709796434,0.8364042585348104,1.50497e-05,0.5012594188025371,False,0.027715051546692848,500,7
54,0.8557940974847671,0.8360506284736199,7.4633176e-06,0.7046827162551645,False,0.024786856025457382,1000,7
55,0.8062514526801396,0.7627225008582005,3.1747095e-06,0.7734496293879276,False,0.0100278090685606,2000,7
56,0.9011595507544582,0.8809050755515531,0.01642639,1.1804867131388673e-97,True,0.7432750463485718,0,8
57,0.8805405521262003,0.8652395206808695,0.0021791933,6.964987259328814e-23,True,0.3296317160129547,10,8
58,0.8453682270233196,0.8340034793225385,8.6341584e-05,0.14192284495489535,False,0.07650308310985565,100,8
59,0.8454271690672153,0.8186866088390445,4.6356483e-05,0.4061471843100366,False,0.06691651046276093,200,8
60,0.8317740483539094,0.7972514140966362,1.0870306e-05,0.8303175259615859,False,0.034177400171756744,500,8
61,0.8636188271604939,0.8310354425523234,5.9151157e-06,0.9396804246972709,False,0.021450456231832504,1000,8
62,0.8141610939643346,0.7971566255572209,1.6021654e-06,0.908504153373183,False,0.018020326271653175,2000,8
63,0.9180284915214656,0.9221596404496691,0.02776781,9.705395137436499e-133,True,0.9317402243614197,0,9
64,0.8988271882707435,0.8875851885332913,0.0016180439,2.6495855679789605e-20,True,0.27352476119995117,10,9
65,0.8632042424000773,0.8439857906016578,0.00010640886,0.008279951673623002,True,0.07781582325696945,100,9
66,0.8670946280779901,0.8544021808802453,4.4914283e-05,0.13196118306164545,False,0.05263761430978775,200,9
67,0.8454554257494546,0.8085437342346043,2.0725376e-05,0.3048462291473531,False,0.05786406248807907,500,9
68,0.8266072761034626,0.8030617687773813,7.3723745e-06,0.5936073377691038,False,0.09739139676094055,1000,9
69,0.8296261698213157,0.8005108955787364,5.0358644e-06,0.6946759023362373,False,0.02274004928767681,2000,9
70,0.878363286225694,0.8734084586861395,0.0212421,2.0836630745742294e-107,True,0.6388523578643799,0,10
71,0.8658126520534382,0.8587384855329279,0.0016485344,1.3970908306100598e-24,True,0.38476595282554626,10,10
72,0.8584174972381361,0.8434792411048899,0.000104437786,0.012637689134707829,True,0.10873547941446304,100,10
73,0.8437660354122272,0.8361040973119993,4.751777e-05,0.1141806538902503,False,0.05166885256767273,200,10
74,0.8383751184733986,0.803218460387283,1.7975311e-05,0.4036795132753981,False,0.1822555512189865,500,10
75,0.8439833624108808,0.8199362924662761,6.9854873e-06,0.6334670554257973,False,0.03815760836005211,1000,10
76,0.8300865082191863,0.7994859535450087,2.5227507e-06,0.828658066861716,False,0.018174724653363228,2000,10
77,0.9068650315717658,0.907993574618739,0.0143487435,1.1619609792366471e-75,True,0.6615103483200073,0,11
78,0.8837866625824105,0.8620819528211355,0.002623946,5.674763501640553e-17,True,0.26015421748161316,10,11
79,0.8615297860638675,0.8511901821867871,0.00013691012,0.09683289792723135,False,0.1166110411286354,100,11
80,0.8447170376146086,0.8308956298010152,4.2828797e-05,0.4018002993128199,False,0.04177291318774223,200,11
81,0.8517066854171162,0.8027924839837712,5.599268e-05,0.25252787890885414,False,0.07249443978071213,500,11
82,0.8394678399621278,0.8038561865126606,4.15947e-06,0.8598533041212508,False,0.012546616606414318,1000,11
83,0.8434291045035888,0.8017615273063254,2.1978342e-06,0.858586973834061,False,0.04553721472620964,2000,11
84,0.8786634349030471,0.847007410121416,0.015899692,1.0950542481027642e-90,True,0.5585784912109375,0,12
85,0.8777008310249308,0.8391148041602008,0.0020863912,2.2407408282617816e-25,True,0.35254791378974915,10,12
86,0.857472299168975,0.8283951107381846,0.00012295798,0.005188944087029425,True,0.12328605353832245,100,12
87,0.8563504155124653,0.8251327901188816,6.254334e-05,0.03919004269545319,True,0.09069530665874481,200,12
88,0.8403808864265928,0.7952274727209376,1.9680007e-05,0.4050547528219758,False,0.04117126762866974,500,12
89,0.8304639889196677,0.8030811603181018,7.966355e-06,0.7063885118065049,False,0.030122317373752594,1000,12
90,0.8569321329639888,0.806596102141486,4.7680646e-06,0.7406558199396029,False,0.04918917268514633,2000,12
91,0.8905062458908615,0.8703778734435692,0.012372087,1.3421556470012711e-71,True,0.4909624457359314,0,13
92,0.8911439842209072,0.8617107992590538,0.002034583,1.2467857178050966e-15,True,0.360720694065094,10,13
93,0.8692044707429324,0.8518254305507882,9.8974466e-05,0.3039097728272759,False,0.08953730762004852,100,13
94,0.8705917159763312,0.8410158136006288,4.448406e-05,0.6035636667580146,False,0.05697348713874817,200,13
95,0.8615318869165023,0.8352903233835269,1.6347629e-05,0.881986173287892,False,0.03275500610470772,500,13
96,0.8671268902038134,0.8464441499705015,7.789898e-06,0.946760592451479,False,0.01910037361085415,1000,13
97,0.847008547008547,0.8354788834800768,4.491114e-06,0.9546502848955561,False,0.019987517967820168,2000,13
98,0.8966197715456051,0.872740398279208,0.014724184,3.646333459918667e-99,True,0.7456517815589905,0,14
99,0.8902557476189848,0.8756444946126009,0.0016719393,8.329890101663587e-23,True,0.25455933809280396,10,14
100,0.8725217444809235,0.8373499488784671,0.000114814095,0.0036328071038656323,True,0.09720359742641449,100,14
101,0.8757389167974191,0.8502541961374769,5.8623504e-05,0.09704902791001954,False,0.08286231011152267,200,14
102,0.8783583631097573,0.8570637678228545,2.7484602e-05,0.3405725986000411,False,0.054723724722862244,500,14
103,0.881786497545368,0.8537814140576961,1.01815285e-05,0.6504113267559735,False,0.042857684195041656,1000,14
104,0.8666939159403857,0.833088107465106,5.520521e-06,0.7756797419865809,False,0.025866445153951645,2000,14
105,0.9034768444971748,0.8820142568677859,0.016459294,6.344135527121179e-101,True,0.6289818286895752,0,15
106,0.8736401295019004,0.8519205241158895,0.0021394857,2.5219160365982693e-21,True,0.3412473201751709,10,15
107,0.8351917392266082,0.8155228662764505,8.4966814e-05,0.12343037948874172,False,0.10278923064470291,100,15
108,0.822769410203302,0.7822439125412783,5.3326596e-05,0.18037423023491228,False,0.06855476647615433,200,15
109,0.8261075026644413,0.7818297259820877,2.1253185e-05,0.5940303271146457,False,0.05935927480459213,500,15
110,0.832120090892638,0.813322290855578,8.835091e-06,0.8231705833845788,False,0.029275095090270042,1000,15
111,0.8053550242313339,0.7657677863236285,2.78279e-06,0.9304187521640042,False,0.014158333651721478,2000,15
112,0.8672945521698985,0.8579214101002909,0.018044077,8.234133630994329e-95,True,0.7936211228370667,0,16
113,0.8508587257617728,0.8473614058028345,0.001653693,9.509399817841564e-20,True,0.3184063732624054,10,16
114,0.8175438596491228,0.8010635957045507,0.000110348294,0.0428303154575039,True,0.10869906842708588,100,16
115,0.8210772545398586,0.8175615936549339,5.2539897e-05,0.2382402300764616,False,0.09137488156557083,200,16
116,0.7853739612188365,0.7672048258034023,1.86847e-05,0.6824859788974814,False,0.051935020834207535,500,16
117,0.76398891966759,0.720807716887576,8.5626125e-06,0.8538280819516688,False,0.020572122186422348,1000,16
118,0.7999507540781778,0.7769233419553598,3.0628416e-06,0.9660722760380795,False,0.017504865303635597,2000,16
119,0.8903918734178872,0.8771735548599089,0.024249637,3.0564877910999834e-126,True,0.8686652183532715,0,17
120,0.8604731784852271,0.8518905207739556,0.0025180208,4.676858213871986e-28,True,0.28272339701652527,10,17
121,0.8426292345026525,0.8153527735871278,0.00011495224,0.054923119172605527,False,0.13762152194976807,100,17
122,0.8465407735428209,0.8190742069792867,5.4581786e-05,0.2308399592293008,False,0.05834037438035011,200,17
123,0.8363432996906089,0.824950139585716,1.7277398e-05,0.6135300413155726,False,0.030747879296541214,500,17
124,0.8442514112283409,0.8078711235246212,8.112067e-06,0.8107451368996588,False,0.019676441326737404,1000,17
125,0.8260542513458179,0.7880671103534899,4.0243954e-06,0.873821602467109,False,0.008424763567745686,2000,17
126,0.8740180320978445,0.8832728051273404,0.024745386,1.4166187768109748e-134,True,0.7290834784507751,0,18
127,0.852066942535268,0.8343031074976969,0.0011226998,2.0762483033553343e-18,True,0.1801123172044754,10,18
128,0.8490004203148218,0.8232524611464844,0.00010376606,0.03681468406724658,True,0.07352422922849655,100,18
129,0.8252496729240296,0.78184299660942,5.2832947e-05,0.17153229230279396,False,0.06702923029661179,200,18
130,0.864344871271186,0.8585864107789383,1.0605882e-05,0.7285159654265664,False,0.022371312603354454,500,18
131,0.8186371143907506,0.7904565640777605,6.298727e-06,0.8104355200838929,False,0.0378674678504467,1000,18
