,AUC,AP,AUC2,AP2,AUC3,AP3,HSIC,p_value,#0.05,cor2,Z_dim
0,0.4571320873505581,0.4770828789745598,0.54755859375,0.5519933367730705,0.498466796875,0.49646189536136315,0.0005294388975016773,1.0505231646703877e-63,True,0.029896195977926254,1
1,0.47780980700665443,0.4885379068425595,0.5227768595041322,0.5124423026351654,0.4965157024793388,0.49162491343544035,2.1125148123246618e-05,5.809243419192253e-41,True,0.013939421623945236,1
2,0.44785570413534964,0.47038970133727104,0.4991748178561365,0.5000608820903446,0.506581330757155,0.5036616425938849,3.87887230317574e-05,1.2043558759616942e-25,True,0.013221955858170986,1
3,0.4833062199575617,0.4883718865784932,0.5030393565067509,0.49927242951416995,0.5341453605285836,0.5227043412579101,1.7409878637408838e-05,5.6822891925817864e-08,True,0.029766611754894257,1
4,0.39756039578015123,0.4394495300973013,0.4617987106398849,0.49141272421288607,0.49753583035856996,0.5563727332582444,0.00011761984205804765,8.47907416351664e-55,True,0.029540017247200012,1
5,0.35044912230832526,0.4115692480969565,0.4664391039372038,0.47752893284981546,0.4063929464766932,0.43529198970466915,0.0007070862920954823,6.464698993422227e-66,True,0.02858687750995159,1
6,0.4845537146860819,0.4894815098264608,0.5268554755993211,0.5179671831894688,0.5434919833354375,0.5309935194759128,8.458343472739216e-06,4.581831660144214e-56,True,0.07675862312316895,1
7,0.429979047325064,0.4610690456305161,0.5013125074883726,0.5139273478614367,0.47911424805846925,0.5082285161223918,3.5686483897734433e-05,2.089142496494115e-56,True,0.032260265201330185,1
8,0.4272318818211394,0.46097106948928773,0.4771575927734375,0.49495393940395677,0.4788970947265625,0.5013243022971766,0.00038081631646491587,1.9700095647924475e-31,True,0.014625715091824532,1
9,0.4110222229377938,0.441896846139403,0.5599634411587765,0.5357818815339053,0.5576148826877689,0.5489939206274004,0.0006083200569264591,3.8390461293020505e-39,True,0.024708392098546028,1
10,0.6199666500481344,0.5877848498060689,0.5677505838780559,0.5725113921217261,0.6228078661157254,0.5941240415599436,7.731889490969479e-05,4.295085611633872e-63,True,0.04004780575633049,2
11,0.5960119242594667,0.5663448905741577,0.5535213490512207,0.5374439328914085,0.5412108924474014,0.5221907389365563,5.558697012020275e-05,8.301453023393742e-21,True,0.01754346862435341,2
12,0.41237285990133254,0.428763830692514,0.5000675821799309,0.4814443353961002,0.5125432525951557,0.5061936793584021,0.00040975515730679035,6.501094613985847e-67,True,0.04360567033290863,2
13,0.6093946653401452,0.5693936154532114,0.5241415275085308,0.549112221209161,0.5904499540863177,0.5768993666232765,0.00018261531658936292,2.867216380749133e-52,True,0.04289713501930237,2
14,0.5219801277147149,0.5066214337901734,0.590429382936066,0.5826952369942873,0.623760859879706,0.637770477320203,0.00025748423649929464,3.282177831150251e-30,True,0.04135969653725624,2
