,AUC,AP,AUC2,AP2,AUC3,AP3,HSIC,p_value,#0.05,cor2
0,0.8551688039431444,0.8560102720322389,0.6796944846083377,0.6280472887080505,0.7460844803037494,0.7347454632161778,0.0008191065,1.4066632448642271e-73,True,0.025662539526820183
1,0.8426206777474154,0.8408123330600001,0.6912106474396037,0.6999792257631974,0.7204820369803535,0.7119405046587706,0.000797244,2.3324468601073062e-71,True,0.047361817210912704
2,0.838248286422067,0.8338115814584577,0.6677218375633382,0.6476492444989421,0.7278330220019911,0.7100713332010824,0.00076413015,4.080829438268802e-66,True,0.05463119223713875
3,0.8505353036472312,0.8516789994748459,0.7195830853206011,0.7174462307638381,0.7311964134192828,0.7362043082452931,0.0005791507,1.6004812375335068e-60,True,0.14322669804096222
4,0.8493721359403332,0.8535499781439224,0.689528889871616,0.6718126077888831,0.7320103370600184,0.7117312441842443,0.00062485354,1.1707900811514614e-69,True,0.005048385821282864
5,0.8480031612223393,0.854818896024277,0.7002294726787732,0.6917659171188086,0.7341494950436231,0.730424443168633,0.0006267636,5.828142659441355e-72,True,0.03972214087843895
6,0.8507368246315516,0.8505789675589588,0.7454908229319003,0.7285242750868046,0.7593102744617897,0.7488748309391711,0.0007506084,2.1720551902853876e-65,True,0.03405994176864624
7,0.8509046292420284,0.8486576607101285,0.7097846902334247,0.6964528304993955,0.718958646032814,0.7083017803129799,0.0005465928,3.0026845160076334e-59,True,0.05272350832819939
8,0.8587698381414189,0.8598542941228933,0.7065843621399177,0.6771462856705732,0.7536351165980795,0.7542995144479067,0.0008093047,2.849202842878715e-94,True,0.03879110515117645
9,0.8384293710533299,0.8380190966147183,0.6482454494276599,0.6465201713016236,0.6721711390504785,0.665960032936967,0.0008425091,3.413342871074483e-64,True,0.02610636129975319
