,AUC,AP,AUC2,AP2,AUC3,AP3,HSIC,p_value,#0.05,cor2
0,0.8281583464819604,0.8173767619657341,0.7073497321959928,0.6934423334822837,0.7490205316405476,0.7415171542442065,1.6027919e-06,0.9078535697007208,False,0.0013862833147868514
1,0.8340709648334834,0.8278741073207567,0.7076203260827066,0.7191453004424164,0.7518017959311343,0.7490508680360026,1.7808924e-06,0.8632071607434912,False,0.004506155848503113
2,0.8441264833150307,0.8341834342474996,0.6986957196832464,0.7019610849976252,0.7694606904404534,0.7781009215069044,1.5377398e-06,0.9503315391923113,False,0.0028689061291515827
3,0.8402988115713839,0.8261948005540392,0.7266724427641251,0.7132983535917403,0.7806789540012602,0.79575849459696,1.8488086e-06,0.8749138730675763,False,0.0021647780667990446
4,0.8235896917724941,0.8124194663687347,0.6937898545342656,0.6554307257130108,0.7201031310677035,0.7068348718517476,1.1833856e-06,0.9274262772772107,False,0.0034290363546460867
5,0.843663670149156,0.8320706596658236,0.7252363636363638,0.7262161670661993,0.789685950413223,0.7892355594020755,1.4475228e-06,0.9513708553238289,False,0.005849891807883978
6,0.8318061216898494,0.8213661794995649,0.718554768846314,0.7188662407102495,0.7579249386829562,0.76741927939702,1.2967664e-06,0.9577450723856118,False,0.004370453767478466
7,0.8312499375417084,0.8187586532751857,0.7337933427921077,0.7262610870358772,0.7755412426379774,0.7810151692076599,1.4510059e-06,0.9412433268152249,False,0.004711597226560116
8,0.8372649319732045,0.8265364650580455,0.6863588350686586,0.6664620019484506,0.7591293194507319,0.7429364781359618,1.5068204e-06,0.935305559836728,False,0.002617382910102606
9,0.8251032144090447,0.8182867444643489,0.7011723100913343,0.688869170334598,0.7264981064825129,0.723886931739736,1.192445e-06,0.9633767648324837,False,0.0016550893196836114
