,AUC,AP,AUC2,AP2,AUC3,AP3,HSIC,p_value,#0.05,cor2,Z_dim
0,0.36471430189395754,0.42329045187956466,0.4553125,0.46167652985392404,0.461142578125,0.5121445423654419,7.1576846e-07,5.934262124528492e-14,True,0.05039931461215019,1
1,0.44328988642029044,0.4654958060348914,0.4894413223140496,0.4994546031295283,0.5330115702479339,0.5321660509940733,8.92429e-06,3.057790608062977e-22,True,0.004573399666696787,1
2,0.3415594974911198,0.40489949792092705,0.5143098659582176,0.5259515272072302,0.4939017026929115,0.5022211601442724,0.0007969663,1.4025881873544174e-53,True,0.0038891786243766546,1
3,0.4328193284262397,0.45871318400092387,0.5246653260557311,0.5144536795723134,0.459936799770181,0.48532269264410527,0.00047961838,4.397764912028387e-56,True,0.022148411720991135,1
4,0.3980556706021868,0.4371211258997395,0.4667536895945442,0.47781161602287514,0.44806595982737496,0.47239529113965384,0.00083710236,1.532510302373931e-69,True,0.02677004411816597,1
5,0.46911102141791977,0.47921609589059755,0.5096806290681444,0.508403668379086,0.49811362474260995,0.521419935815093,0.00014870524,3.9283288732219767e-31,True,0.03182841092348099,1
6,0.45045788867656156,0.4671284310150428,0.5065157317398197,0.5278273198643686,0.4892339631640225,0.5040096756988406,0.00036824605,2.019763205129992e-33,True,0.0011464349227026105,1
7,0.4466888666568214,0.47097482269761914,0.48182640046182834,0.5072914504578871,0.4477556666557745,0.48068507356099766,5.5667995e-05,6.007550116789493e-26,True,0.014570556581020355,1
8,0.45494992788149247,0.47196195087739473,0.480316162109375,0.49165389816082605,0.490814208984375,0.5277362330248784,0.0002848794,7.455485992896604e-38,True,0.005500850733369589,1
9,0.488292667896216,0.492749147947225,0.48283122772918685,0.489173752048604,0.5160292007959646,0.5261380563831203,3.7169873e-05,1.9655941457976251e-56,True,0.005861185025423765,1
10,0.5932015343087561,0.5665156153318458,0.5446165752269869,0.5346043123447197,0.5865728776550904,0.5530955921342857,1.40309e-06,0.003353994050424542,True,0.020314177498221397,2
11,0.5939380868997481,0.5588094677717437,0.6058225788828322,0.5864408683811352,0.6088091393606818,0.5796363348963469,5.7479956e-06,5.011897901710778e-15,True,0.0030802045948803425,2
12,0.6150923549940539,0.5952543876066638,0.5499432309688581,0.5373660217713332,0.560553633217993,0.5604793533377516,2.2956063e-05,4.518419650890782e-42,True,0.02068260870873928,2
13,0.6279391262057226,0.5946708967544085,0.541067238036935,0.5402927277177805,0.5816640025394234,0.5697966757991884,8.357514e-06,7.373232184032106e-32,True,0.016782835125923157,2
14,0.533598546970301,0.5108654569322681,0.5429661394519938,0.5420650653650445,0.5679438627756739,0.5518165036532261,4.708343e-06,8.88832008414471e-06,True,0.008626660332083702,2
15,0.5808332324747585,0.5456393840538748,0.5629008319603491,0.5379798607887635,0.5578491578273717,0.5453651689144245,1.3905969e-06,0.0140072957372154,True,0.02485937625169754,2
16,0.6479012626013073,0.608048013709276,0.5975519120760326,0.5702911593558924,0.5849623890815729,0.5697842247105915,1.2297908e-05,5.9165327590129174e-08,True,0.011668163351714611,2
17,0.36519694626144095,0.4188448483794376,0.4589882252650647,0.47935796284187593,0.4770632425808514,0.5011222459818024,0.00012104701,5.336661851284494e-52,True,0.03309473395347595,2
18,0.5693002006437923,0.5481089509874999,0.5200930027963678,0.5085261002988872,0.5926309946481498,0.5625466845957415,4.882327e-06,0.0001177291111192508,True,0.007674513850361109,2
19,0.5819176860785187,0.5504696571990157,0.5938110127567123,0.567362848041826,0.5996388778790681,0.5834604696647303,6.5826607e-06,8.757801801632099e-05,True,0.014830626547336578,2
20,0.7413689969253865,0.7237288278619012,0.6157777804756643,0.5925904951581512,0.6238997681166458,0.6045529808914988,1.9415164e-07,0.7324049381859381,False,0.003189299488440156,3
21,0.7598197203867195,0.7431234106963325,0.6452149758743311,0.6155209330993542,0.6508183570599011,0.6034650533367494,8.943243e-07,0.654806626532373,False,0.005754481535404921,3
22,0.7890354552126859,0.7820307615803122,0.6467954167215431,0.6362315598839643,0.6803678116880785,0.6736049161462336,4.92627e-07,0.752859747966652,False,0.0019591362215578556,3
23,0.7984261842924891,0.7959492423151042,0.6551812046317541,0.6296022186642908,0.651638959331267,0.6152774230043543,2.8902255e-07,0.8547333788495131,False,0.0026342105120420456,3
24,0.8289546203035528,0.826081965503664,0.7283095941951089,0.7108868122151667,0.7285783391561408,0.712074618189764,4.3620133e-07,0.6461133579517866,False,0.0007525796536356211,3
25,0.7563024968881891,0.7338552242746513,0.6450487131016431,0.6420224534414878,0.659355040771356,0.6376795694731037,5.357094e-07,0.5893711858337032,False,0.004171776119619608,3
26,0.8287632480976592,0.8273744746112139,0.7303331589045874,0.736578745517156,0.7444082169356894,0.7377408362549351,4.802362e-07,0.7409356767549742,False,0.0029395357705652714,3
27,0.7558516368513915,0.7385093943335735,0.6032296464986284,0.5947658024357435,0.6287976812794368,0.6171914848047896,5.0590785e-07,0.6942715324064967,False,0.004759792238473892,3
28,0.7601645623311544,0.7465678134603428,0.6237945548510841,0.599129764534108,0.6283366188928552,0.6056852417739478,9.1875626e-07,0.5536571007428017,False,0.0019282008288428187,3
29,0.7983723258135401,0.7828894550765584,0.6896470282589955,0.6684875281154901,0.6915246631475773,0.6651995631400303,7.1399165e-07,0.6760347086690057,False,0.0008644520421512425,3
30,0.7862726279451167,0.7767771887981018,0.6034898484548452,0.582193296352443,0.6287085464012395,0.6095821935576156,5.4950414e-07,0.8844037401555376,False,0.0036375427152961493,4
31,0.7714832928233479,0.7514551287988291,0.6512708805612898,0.6237595072586798,0.6948746849710616,0.6781450534526323,6.5233763e-07,0.8301451518640687,False,0.0019630638416856527,4
32,0.7728713214842089,0.7578873961586392,0.6375942405516639,0.6241596442216824,0.6712719591108305,0.6614482748297315,4.9621366e-07,0.8529037913054692,False,0.00647690100595355,4
33,0.7770269853131408,0.7639623987577977,0.6137869822485208,0.601225878962073,0.6658579881656804,0.6446643397683239,4.1243365e-07,0.7627606541862547,False,0.0013493960723280907,4
34,0.8031392592280044,0.8031718977186763,0.6489960592981797,0.6502820739114705,0.6696964721336086,0.6626179389551533,3.9257534e-07,0.8592045090335485,False,0.0029215828981250525,4
35,0.799583039548035,0.7977982747214161,0.6239876903142209,0.6026419009700265,0.6802721088435374,0.6762653568815583,2.2835381e-07,0.9201244234297529,False,0.006956028286367655,4
36,0.7658981280278392,0.7560523684712727,0.6292695927843005,0.6010557161569384,0.6695843678547883,0.6297699142028064,3.37018e-07,0.8756289705163378,False,0.0035663165617734194,4
37,0.8066492542202374,0.8044916268957867,0.628930271771474,0.6327956409269563,0.6769862130529658,0.689772930731441,4.01186e-07,0.7793630446207326,False,0.0031071933917701244,4
38,0.8035382594511886,0.7979213883589886,0.6892413649170406,0.690474771889937,0.7087252724318361,0.7149107602015391,3.1449505e-07,0.8661699247349182,False,0.00335290958173573,4
39,0.7800799244060356,0.7701975696223189,0.6562335350658597,0.6297610258755908,0.6927020291918833,0.6892035137351061,6.381598e-07,0.8395749887608354,False,0.002886780770495534,4
40,0.7906066060330824,0.7875392160823269,0.6472689049024202,0.6101155312458921,0.6773977026633401,0.641845212640269,3.5806687e-07,0.9007190327531837,False,0.0008264502976089716,5
41,0.8101725736480418,0.8152590136743019,0.6557550535077289,0.6618630088208532,0.6542330558858501,0.6465483235892919,5.914565e-07,0.7443935789161624,False,0.003484418150037527,5
42,0.8091189550089328,0.8090702619570218,0.6897001133860731,0.6787742332879063,0.6914074209229887,0.6779331471981975,7.360057e-07,0.8199071735600568,False,0.005759913939982653,5
43,0.7707195750393349,0.7694283637008814,0.6406649452088231,0.6460402836736729,0.6637890057938619,0.6583322254820978,4.991211e-07,0.7179126054362052,False,0.0059151300229132175,5
44,0.8143584339790872,0.8155826461444958,0.6842991204814208,0.7047262121550664,0.7081877989591662,0.7236191461635624,3.0128575e-07,0.8733212182135275,False,0.004619999788701534,5
45,0.7977352401340883,0.7940746052866731,0.6501430328491866,0.6499473437357774,0.661875872362184,0.6369964048641108,3.7622468e-07,0.9203886231728984,False,0.001213541836477816,5
46,0.8233895865094532,0.8215765899255005,0.6977763894673515,0.6854515104542456,0.7004835947984636,0.6962643437448424,4.3375277e-07,0.7123571393202666,False,0.00383449112996459,5
47,0.7974075367449069,0.7946013198356942,0.606440744040989,0.5814595174202459,0.63333983069726,0.6299678880318782,5.43542e-07,0.9076585006699983,False,0.0018516483251005411,5
48,0.7743764497263493,0.768138541894053,0.6816563184806428,0.6516033550977807,0.6889152666179692,0.6612031355826156,6.916719e-07,0.7174696737238284,False,0.0024173695128411055,5
49,0.7958671376114395,0.7954769408612892,0.6768130236143703,0.6725110991378638,0.6942602228797514,0.6842026022292453,2.5965008e-07,0.9003118205479581,False,0.00592350959777832,5
50,0.8264739101999666,0.8272848229943437,0.6672277630489978,0.6615432582763927,0.7140512561545258,0.7049816479480031,4.8067403e-07,0.7627795129269237,False,0.005153649486601353,6
51,0.815062824713719,0.8146676038302179,0.705031631808554,0.6982170932828435,0.7092538820855951,0.7096427133800225,3.8872142e-07,0.8538834965277866,False,0.004118355456739664,6
52,0.8154376022234042,0.8187375494591644,0.6400140575224751,0.6601857057155002,0.6714620957045199,0.6774357100940033,9.4812356e-07,0.6260549283061665,False,0.0027960645966231823,6
53,0.8282516230828081,0.8284632653955157,0.6845729660610581,0.6822456269606135,0.7103734881986254,0.7073360583018958,4.489527e-07,0.8832717858232317,False,0.009920728392899036,6
54,0.7948535477975263,0.7884254818897105,0.6315706983024691,0.6231920818046273,0.6872106481481481,0.6749421808582571,3.6159912e-07,0.9144891368351525,False,0.006102380808442831,6
55,0.7880349011382398,0.7880034573603336,0.6375139858276946,0.6299661880127375,0.649328680270659,0.6265873017192966,3.6423378e-07,0.9016655762471186,False,0.0025510808918625116,6
56,0.8033509956129297,0.8028180104850131,0.6363927362265311,0.6349098844358259,0.6649307479224376,0.6423095305023385,7.6258385e-07,0.8261670133274723,False,0.003670372534543276,6
57,0.7983724201949588,0.7997686194374447,0.6551989938739908,0.6589353324201613,0.6775426995009939,0.6650490103354607,4.799806e-07,0.88430951193197,False,0.004772207234054804,6
58,0.8213714563941189,0.8181033165380935,0.6757032378686156,0.6829202214926542,0.7121489880901795,0.7144031769672887,4.828959e-07,0.7366290535619797,False,0.0038809312973171473,6
59,0.8076514627454333,0.8114151839300573,0.6682578512396695,0.6903734002285797,0.6946512396694215,0.7240467471167629,5.7939127e-07,0.8733612058518005,False,0.002685011364519596,6
60,0.8122817540731135,0.8184235039381084,0.6422336897307264,0.6279163016954346,0.6660600328061206,0.6269664068211768,7.7723865e-07,0.8109880630090107,False,0.006009133066982031,7
61,0.8174043166729772,0.8173903464051443,0.656076817558299,0.6461919421733993,0.6987379972565158,0.6590899204674823,5.050057e-07,0.8151273254447173,False,0.003283725120127201,7
62,0.8086437778772175,0.8121329664708067,0.6519586716211021,0.6701743687199587,0.6776782490186257,0.6976149742244809,5.9932637e-07,0.8666492366425878,False,0.004847134463489056,7
63,0.8250823727710718,0.8223390830538514,0.6626852168810212,0.6798158663681693,0.714228079612695,0.719258884511777,8.908214e-07,0.5981608088035085,False,0.002994551556184888,7
64,0.8061279467822043,0.8060169235908592,0.6285583103764921,0.6397544439624756,0.6974288337924702,0.6974319965271466,5.0792346e-07,0.8599059591333363,False,0.003444101894274354,7
65,0.8267252423659313,0.8322166543608629,0.6533003377744419,0.6602329666842837,0.6718075623944455,0.6870599197469502,6.23037e-07,0.8649668452111663,False,0.0029801437631249428,7
66,0.8148198869421641,0.8179067321442547,0.685304220657756,0.6971647197319575,0.712818419889127,0.7137933921324431,4.7638787e-07,0.8880210889790858,False,0.00681212916970253,7
67,0.8329734144199263,0.8346627261928226,0.679824,0.6988227112283714,0.6949919999999999,0.7072238804292724,5.6578676e-07,0.9059867707930953,False,0.001453573815524578,7
68,0.814343210811447,0.8132198022306265,0.6816945532217872,0.6851469168014018,0.7299964400142399,0.7158947895038188,3.9751316e-07,0.9174121037145057,False,0.005029113497585058,7
69,0.8197056243552916,0.8215384536346413,0.6621201922509181,0.6596515454924455,0.7040894651692825,0.7019329935201435,7.28643e-07,0.7855809702635648,False,0.0069267768412828445,7
70,0.8306613361521917,0.8319025671028019,0.6977888888888889,0.7057925706760169,0.7101444444444445,0.7282372341569266,6.818147e-07,0.6836825228680639,False,0.005082311108708382,8
71,0.8164937636089677,0.8164524611255339,0.7201509412629318,0.7113137601927385,0.7246311266889027,0.7018736554944218,3.561626e-07,0.8504785842204119,False,0.005926831159740686,8
72,0.8270996645573345,0.8266637453895034,0.7021788494809689,0.6917738217857221,0.6981239186851211,0.682326043178103,3.3394275e-07,0.8709887372412772,False,0.009784961119294167,8
73,0.8260283188670676,0.8241295648301055,0.6686701548113647,0.6911909240844397,0.7061577327857665,0.7235272297206006,7.784929e-07,0.6469726667488356,False,0.0034259376116096973,8
74,0.8081286718535733,0.8097470304004551,0.6384716054630262,0.6283418553052776,0.6492992248408854,0.6465924553667493,5.2404556e-07,0.8665027963874175,False,0.012181608006358147,8
