,AUC,AP,AUC2,AP2,AUC3,AP3,HSIC,p_value,#0.05,cor2
0,0.8656625964217227,0.8620394019665215,0.7367089863122397,0.715220739100484,0.7687090854989089,0.754163476972794,0.0004658748,1.3867137841695985e-168,True,0.08767077326774597
1,0.8733404693088282,0.8732403468680181,0.7111913357400721,0.7057497318969761,0.7694222523426605,0.7620234869023216,0.00054202747,8.773941420009799e-181,True,0.07778710126876831
2,0.8731424626443898,0.8730616208855393,0.754179390300709,0.7488210400202282,0.7956109932198127,0.788950908436312,0.0005498295,2.2779708871137716e-165,True,0.07244224846363068
3,0.869528931235919,0.8667722536060208,0.748227788279773,0.740554015243154,0.7868094938038227,0.8025153082691774,0.0005253709,2.567553953127589e-174,True,0.07490110397338867
4,0.8650971517908597,0.8606193467851379,0.7174505830300586,0.6986032562903428,0.7425967384269329,0.732880182012353,0.0005405166,3.0658336983188173e-175,True,0.06963370740413666
5,0.8708949135077577,0.8692649309879557,0.7529388429752066,0.7382128995104227,0.8128793388429751,0.8098954640009202,0.000555616,2.470915241510788e-169,True,0.06973527371883392
6,0.8691354384461043,0.8668181454689953,0.704625387569994,0.6984911174104054,0.7765861446619464,0.7735137776574735,0.0005132688,1.5872582722109335e-175,True,0.07485169917345047
7,0.8700734176399982,0.8670402873762673,0.7400708387347017,0.7275547770512578,0.7887290877726627,0.7860792840604678,0.0005591193,2.0837251945190387e-171,True,0.07903336733579636
8,0.8683781830133434,0.8677419439928726,0.7282581359086565,0.6980246254408546,0.7710125245208994,0.752217421466896,0.00056204404,1.7775297828370573e-158,True,0.08653172105550766
9,0.8683375268293062,0.8679982936982088,0.7142737803519716,0.7196621801732772,0.7583815994653599,0.7442951521110183,0.00052072573,1.439693621664423e-180,True,0.07081631571054459
